TIMESTAMP,sap_flow,solar_TIMESTAMP,ta,vpd,sw_in,ws,precip,ppfd_in,rh,ext_rad,latitude,longitude,elevation,mean_annual_temp,mean_annual_precip,stand_age,basal_area,tree_density,stand_height,leaf_area_index,soil_depth,n_trees,pl_age,pl_dbh,pl_height,pl_leaf_area,pl_bark_thick,pl_sapw_area,pl_sapw_depth,latitude_abs,aridity_index,leaf_habit_code,biome_code,igbp_code,social_status_code,sapwood_leaf_ratio,tree_volume_index,koppen_geiger_code_encoded,igbp_class_code,soil_texture_code,terrain_code,growth_condition_code,pl_social_code,tree_size_class_code,tree_age_class_code,species_functional_group_code,swc_shallow,clay_percentage,sand_percentage,silt_percentage
2006-06-21 15:00:00+00:00,1.83,2006-06-22 00:54:18+00:00,9.3,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 15:30:00+00:00,1.61,2006-06-22 01:24:18+00:00,9.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 16:00:00+00:00,1.24,2006-06-22 01:54:18+00:00,7.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 16:30:00+00:00,1.13,2006-06-22 02:24:18+00:00,8.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 17:00:00+00:00,1.47,2006-06-22 02:54:18+00:00,8.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 17:30:00+00:00,1.28,2006-06-22 03:24:18+00:00,8.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 18:00:00+00:00,1.53,2006-06-22 03:54:18+00:00,7.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 18:30:00+00:00,1.58,2006-06-22 04:24:18+00:00,7.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 19:00:00+00:00,1.13,2006-06-22 04:54:18+00:00,7.4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
2006-06-21 19:30:00+00:00,1.26,2006-06-22 05:24:18+00:00,6.9,0.0,0.0,0.0,0.0,0.0,100.0,0.0,-37.58,149.17,180,14.815262511148998,1083.5599169816517,14.5,16,1263,22,1.39,400,18,14.5,16.1,18.958168774411757,,,86.7,2.4,37.58,43.665059617839226,3,15,2.0,,,4914.146928015272,0,2,3,2,,,1,0,3,,,,
