TIMESTAMP,sap_flow,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,ppfd_in,vpd,ext_rad,latitude,longitude,elevation,mean_annual_temp,mean_annual_precip,stand_age,basal_area,tree_density,stand_height,leaf_area_index,soil_depth,n_trees,pl_age,pl_dbh,pl_height,pl_leaf_area,pl_bark_thick,pl_sapw_area,pl_sapw_depth,latitude_abs,aridity_index,leaf_habit_code,biome_code,igbp_code,social_status_code,sapwood_leaf_ratio,tree_volume_index,koppen_geiger_code_encoded,igbp_class_code,soil_texture_code,terrain_code,growth_condition_code,pl_social_code,tree_size_class_code,tree_age_class_code,species_functional_group_code,swc_shallow,clay_percentage,sand_percentage,silt_percentage
2008-09-08 16:30:00+00:00,2.69,2008-09-09 02:21:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 17:00:00+00:00,3.88,2008-09-09 02:51:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 17:30:00+00:00,5.03,2008-09-09 03:21:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 18:00:00+00:00,5.0,2008-09-09 03:51:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 18:30:00+00:00,5.36,2008-09-09 04:21:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 19:00:00+00:00,4.47,2008-09-09 04:51:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 19:30:00+00:00,5.62,2008-09-09 05:21:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 20:00:00+00:00,3.97,2008-09-09 05:51:18+00:00,,,,,,,,0.0,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 20:30:00+00:00,3.87,2008-09-09 06:21:18+00:00,,,,,,,,36.28024537721285,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
2008-09-08 21:00:00+00:00,5.06,2008-09-09 06:51:18+00:00,,,,,,,,171.97508561486228,-38.383,146.683,610,11.38479746749416,1014.2789349468908,5.8,23.4,824,17.27,5.33,200,10,5.8,21.0,17.6,,,206.7,4.3,38.383,47.42990605773282,3,,2.0,,,7761.6,0,2,3,,,,1,0,3,,,,
