feature_index,feature_name,description,category,importance_score
f27,latitude_abs,No description available,Unknown category,84187.546875
f37,soil_texture_code,No description available,Unknown category,31053.779296875
f31,igbp_code,No description available,Unknown category,25645.900390625
f45,clay_percentage,No description available,Unknown category,21536.671875
f16,stand_height,No description available,Unknown category,19426.958984375
f47,silt_percentage,No description available,Unknown category,13161.662109375
f29,leaf_habit_code,No description available,Unknown category,11278.7060546875
f4,ppfd_in,No description available,Unknown category,9325.8271484375
f42,tree_age_class_code,No description available,Unknown category,6520.732421875
f24,pl_bark_thick,No description available,Unknown category,4253.4619140625
f12,mean_annual_precip,No description available,Unknown category,4018.886474609375
f28,aridity_index,No description available,Unknown category,3800.6533203125
f19,n_trees,No description available,Unknown category,2763.463623046875
f15,tree_density,No description available,Unknown category,2633.3984375
f22,pl_height,No description available,Unknown category,2557.337646484375
f26,pl_sapw_depth,No description available,Unknown category,2477.271728515625
f10,elevation,No description available,Unknown category,2189.83154296875
f2,vpd,No description available,Unknown category,2007.627197265625
f20,pl_age,No description available,Unknown category,1720.972412109375
f25,pl_sapw_area,No description available,Unknown category,1717.2384033203125
f40,pl_social_code,No description available,Unknown category,1568.8897705078125
f13,stand_age,No description available,Unknown category,1526.17333984375
f3,sw_in,No description available,Unknown category,1447.4462890625
f14,basal_area,No description available,Unknown category,1419.8092041015625
f8,latitude,No description available,Unknown category,1407.8016357421875
f32,social_status_code,No description available,Unknown category,1245.064208984375
f41,tree_size_class_code,No description available,Unknown category,1146.1572265625
f38,terrain_code,No description available,Unknown category,1127.392822265625
f21,pl_dbh,No description available,Unknown category,950.1424560546875
f34,tree_volume_index,No description available,Unknown category,937.3098754882812
f17,leaf_area_index,No description available,Unknown category,904.1635131835938
f44,swc_shallow,No description available,Unknown category,874.456298828125
f7,ext_rad,No description available,Unknown category,845.9215698242188
f9,longitude,No description available,Unknown category,749.4288330078125
f39,growth_condition_code,No description available,Unknown category,746.9279174804688
f46,sand_percentage,No description available,Unknown category,567.666748046875
f11,mean_annual_temp,No description available,Unknown category,534.6196899414062
f23,pl_leaf_area,No description available,Unknown category,447.20623779296875
f0,ta,No description available,Unknown category,442.140869140625
f18,soil_depth,No description available,Unknown category,386.7999267578125
f1,rh,No description available,Unknown category,352.8739013671875
f30,biome_code,No description available,Unknown category,244.55462646484375
f5,ws,No description available,Unknown category,227.19503784179688
f33,sapwood_leaf_ratio,No description available,Unknown category,226.64688110351562
f36,igbp_class_code,No description available,Unknown category,175.28855895996094
f6,precip,No description available,Unknown category,50.03815460205078
