iteration,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,memory_usage,time_per_iteration
0,5.113557633227273,5.139087091126021,2.7252537071975875,2.729392996347927,0.11555423788091124,0.11535529494043917,26.742664337158203,0.0
1,4.833019383217287,4.856877252854462,2.5651511942083003,2.5689342676826676,0.20993655025430347,0.20984701643779025,26.779632568359375,58.14220571517944
2,4.594886564473792,4.6177650873593015,2.4371596201365855,2.440658465610445,0.28587459097159185,0.2857329739415364,26.78936004638672,57.65308499336243
3,4.376895121069772,4.398591148766461,2.3156600518031945,2.318848552588368,0.35202659982055107,0.351926711404962,26.787826538085938,57.77788519859314
4,4.1890686366051035,4.210761148405881,2.212675146492754,2.215600101454491,0.40644652680404825,0.4060934095795551,26.785873413085938,57.881444692611694
5,4.028684039386604,4.049657144879206,2.1203606114857476,2.1231377602053367,0.451026584765172,0.4506698420520441,26.785076141357422,57.85198903083801
6,3.8761118487707367,3.896274129036739,2.029585601498467,2.031925878960905,0.49182008165380875,0.4914941657537416,26.79633331298828,58.240232706069946
7,3.7446386490610832,3.763777430626472,1.948140289424118,1.9500846833939134,0.5257091693085874,0.5254906250986131,26.7879638671875,58.07012343406677
8,3.6373844165203244,3.6567069230204643,1.8833162977624662,1.8851621846954132,0.5524894256253614,0.5521039440092947,26.78801727294922,58.00030970573425
9,3.530287834720136,3.5495640180415227,1.8167142550474111,1.818451442879323,0.5784538466453264,0.5779664692071915,26.787887573242188,58.18845748901367
10,3.447759782700546,3.4679314977467195,1.759580749300404,1.7612650131416876,0.5979325676751635,0.5971550251330466,26.787811279296875,58.432969093322754
11,3.3739035240209274,3.3944346931262737,1.7129890794749338,1.714581378410781,0.6149738575413313,0.6140492890303312,26.785179138183594,58.122923374176025
12,3.3103978967807377,3.331407782939843,1.6701354380007565,1.6716890376190974,0.6293318316586392,0.6282486781004495,26.788528442382812,58.37140226364136
13,3.251986031816949,3.272250085038573,1.6368667521063038,1.6381605874216378,0.6422972815869272,0.6413342514876718,26.78781509399414,58.10711932182312
14,3.19107379725064,3.210857994712184,1.5976676796935734,1.5987859890318858,0.6555718864872251,0.6546661690625518,26.785911560058594,58.28904485702515
15,3.1437225085403817,3.1633188509230394,1.5695417328085914,1.5705497436458482,0.6657177576347236,0.6648163168224661,26.784984588623047,57.89347863197327
16,3.0987384180941135,3.117959393973244,1.537045382668893,1.5378819714667031,0.6752159219573968,0.6743599299927505,26.787940979003906,58.7603702545166
