cluster,total_rows,train_samples,test_samples,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae,feature_count,best_iteration
0,1944137,1555309,388828,1.3984876234422667,1.722550772713433,0.9313701623702527,0.8957967528737629,0.628032230853146,0.667196846386201,78,200
1,3336038,2668830,667208,0.8279905299241394,0.868257088912978,0.8748040832902599,0.8620491086960171,0.4281513487415592,0.4383792569530496,78,200
2,1437731,1150184,287547,2.3487121620375624,2.608726742021731,0.9301488693220221,0.9133949561262815,1.1610898383498356,1.2215305044116533,78,200
3,687770,550216,137554,1.567262051216705,1.7462590772490567,0.9388831232897833,0.9231416113486892,0.9247626651205044,0.9994655061390604,78,200
4,4318846,3455076,863770,4.465661791451468,3.671589669587085,0.979365980055466,0.6809300962035137,1.6312709263497243,1.6538098018503178,78,200
