cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0,1,CHN_ARG_GWD.parquet,4642774,40280,26.443255522325153,4.807004561803423,2.0489605743885573,3.8673064232271033,0.046407252280114886,0.6013466026540595
0,2,CHN_ARG_GWS.parquet,4642668,40386,26.44087694843255,9.924654517959118,2.037152991485397,6.434429745485999,0.045795530679564656,-0.04619439500848754
0,3,ESP_MAJ_MAI.parquet,4607972,75082,26.54141658128173,4.717573335175712,2.0486962855927437,3.1692974660016415,0.046307518261254565,0.47378008231595314
0,4,ESP_MAJ_NOR_LM1.parquet,4623061,59993,26.49443049974478,4.855484504619488,2.0413936293209787,3.1721319118410873,0.04675316752744452,0.44079123758884786
0,5,ESP_SAN_A2_45I.parquet,4670338,12716,26.36155364733406,4.4065745864223995,2.0479032486161937,2.0018116576534304,0.0473484182560604,0.3858135648095029
0,6,ESP_SAN_A_45I.parquet,4663040,20014,26.391119443975217,1.722974399695863,2.0546407265048527,0.8843256758286829,0.046762115694785056,0.3953817293085219
0,7,ESP_SAN_B2_100.parquet,4678876,4178,26.338426095104683,1.5930882923463694,2.0477253263618485,1.1543795776164827,0.04738598082748746,0.5813671924935047
0,8,ESP_SAN_B_100.parquet,4663340,19714,26.39053939544664,1.6070941979920192,2.054061312413089,0.9752718863896689,0.046738451456723396,0.5740990770782983
0,9,FRA_HES_HE1_NON.parquet,4632789,50265,26.474174871880248,2.4678967876937414,2.0645906058298507,1.2842314049109742,0.04672106357746608,0.4818736641541387
0,10,NLD_SPE_DOU.parquet,4653467,29587,26.413686045502114,4.7702235280154754,2.0547586867688308,3.2927032548582558,0.047024807477212716,-13.459331014117458
0,11,PRT_MIT.parquet,4610626,72428,26.538166568831638,4.779369144411667,2.05357884552545,2.7648864099855883,0.0456349812947443,0.6473596078139112
0,12,PRT_PIN.parquet,4384638,298416,27.210934910770497,5.313784544177998,2.1040289740329916,3.337431429576504,0.043461104520004734,0.3586987159456818
0,13,SEN_SOU_IRR.parquet,4682159,895,26.33064249101685,4.320796129783059,2.0443294960044587,3.4170006395756025,0.04727018641508296,0.5326286584409309
0,14,SEN_SOU_POS.parquet,4679910,3144,26.3388096488013,3.6404993975372,2.046574960610593,2.643900732647188,0.04712777428723092,0.4734129414096546
0,15,SEN_SOU_PRE.parquet,4666291,16763,26.377306882786904,4.194808275698205,2.0448515051270184,3.1005154599993205,0.04696043103901093,0.4512987584950606
0,16,USA_CHE_ASP.parquet,4610949,72105,26.53741944141617,4.659313435353263,2.054412749460013,2.5505623799703567,0.04641192385716153,0.1406781198766227
0,17,USA_HIL_HF1_PRE.parquet,4300438,382616,27.463546959723907,5.536310190925226,2.067079267084071,3.2333644812451148,0.04420255255471184,0.13611291398400138
0,18,USA_HIL_HF2.parquet,1749354,2933700,2.0567985236890407,33.41300685829613,1.0889243884113018,3.0484067495776594,0.8858472175946916,0.019696670521740733
0,19,USA_INM.parquet,4618936,64118,26.50896688118986,6.468911605809117,2.0543814324918044,3.1927030848182865,0.04625276953879809,0.32621856212851674
0,20,USA_MOR_SF.parquet,4666445,16609,26.375598911724655,3.518792266386783,2.0495070126735886,2.2509475133297783,0.047126128823272384,0.48756107138857796
0,21,USA_PER_PER.parquet,4345922,337132,27.326149598202168,1.7850597317268702,2.165651034432557,1.263350485733433,0.04587861316479991,0.306652316649234
0,22,USA_SWH.parquet,4652094,30960,26.41876469254442,2.381782749914761,2.056795083094506,2.021597899672647,0.046888681396059284,-0.4707223842858088
0,23,USA_TNB.parquet,4658056,24998,26.396551393071693,2.7619495732021027,2.0528586661819674,1.512940746636803,0.04729009885587532,0.2734865905612579
0,24,USA_TNO.parquet,4606099,76955,26.55217210982921,4.114039901603931,2.0669061200279772,2.5888757741966844,0.04626639968670243,0.2883425243287867
1,1,AUT_PAT_FOR.parquet,4989218,16083,1.159948167456213,1.8100947913652097,0.5341270200353722,1.3122610084503379,0.8849491205856875,0.0767492138180973
1,2,AUT_PAT_KRU.parquet,4990129,15172,0.9744143820753167,37.348019586491716,0.49131585838463976,26.11160409999222,0.8713475563620726,-0.8956861996348842
1,3,AUT_PAT_TRE.parquet,4992467,12834,1.1620962082827733,2.794267561863214,0.5334361585724438,1.9569777829088906,0.8843899810746209,-0.20670090161600818
1,4,AUT_TSC.parquet,4964772,40529,1.1733570152208397,1.4715114207138413,0.5354157658278429,0.9401706306455505,0.8827158459361785,0.23422528743434545
1,5,CAN_TUR_P39_PRE.parquet,4629843,375458,1.1180143847857453,3.22946331225422,0.5168185173173614,1.471481231676676,0.8842482514651935,0.519728273579753
1,6,CHE_DAV_SEE.parquet,4771797,233504,1.1938024806503242,2.0230059493264108,0.5538076101740583,1.5656666861631972,0.8826925216449871,-4.059642412857505
1,7,CHE_PFY_CON.parquet,4965110,40191,1.1539278355982034,3.1132974249531706,0.5300646781238669,1.5118788469657136,0.8854307402691166,0.41631166671257624
1,8,CHE_PFY_IRR.parquet,4977376,27925,1.1675011647952744,1.6385768597499228,0.5352802185784651,1.0077854719852286,0.8834976774124391,0.5583838535471025
1,9,CHN_HOR_AFF.parquet,4955605,49696,1.1542536476633163,2.205112634465623,0.5314348395202773,1.5684289110657035,0.8860054547513143,0.437177177407181
1,10,CHN_YIN_ST1.parquet,4944511,60790,1.1095317583378517,5.440165093188878,0.5155430389875473,3.745848724624785,0.8870219429006945,0.37452797361425383
1,11,CHN_YIN_ST2_DRO.parquet,4980753,24548,1.1575629336216167,7.634043149316814,0.5289986303065518,6.13673845641939,0.8795373230024465,-0.21072196337451032
1,12,CHN_YIN_ST3_DRO.parquet,4968782,36519,1.1566978745911323,6.212642562154654,0.5312115083013702,4.75450562112175,0.8843015812326932,-1.6517920805882795
1,13,CZE_LIZ_LES.parquet,4497798,507503,1.184899722921259,1.2978093695548245,0.5325564419437545,0.8825643146294663,0.8903816328663626,-0.17391733259230713
1,14,ESP_RIN.parquet,4989893,15408,1.1655779399595794,6.88063648157855,0.5330313080607917,3.6660803469622807,0.8820532759090697,0.021238486288305047
1,15,ESP_RON_PIL.parquet,4776945,228356,1.1752450387296374,22.23922864865035,0.5330199552207573,20.548632666064297,0.8847924390745989,-98.7812439972785
