cluster,total_sites,successful_folds,mean_test_r2,std_test_r2,mean_test_rmse,std_test_rmse,min_test_r2,max_test_r2
0,24,24,-0.23331863297770625,2.768499728114401,5.323374688189579,6.1261010031249405,-13.459331014117458,0.6473596078139112
1,31,31,-4.323190028034607,17.593288281097188,5.72171114156241,7.941017453413944,-98.7812439972785,0.5583838535471025
2,32,32,-9.39340207177985,36.26229853936347,6.0895835212074,3.9995031654415265,-199.45888344449557,0.6732590923055954
