cluster,total_sites,successful_folds,mean_test_r2,std_test_r2,mean_test_rmse,std_test_rmse,min_test_r2,max_test_r2
0,25,25,-0.22229425173778997,1.0546715529251476,5.005983104510921,2.1615025967050037,-4.215472349510274,0.624278708931275
1,36,36,-15.434995464095955,51.02296627761246,8.751498202164719,14.33389563563848,-300.0046723942718,0.5470195868090495
2,26,26,-12.3557452969948,45.299859803882,6.818119925061426,4.055717478746021,-219.81238230414272,0.7500843622423441
