site_code,duration_days,total_records,start_date,end_date,sampling_freq_min,modeling_score,critical_env_coverage,env_vars_present,country,biome,elevation
ESP_SAN_A2_45I,130.98,6288,2013-06-11T23:00:00+00:00,2013-10-20T22:30:00+00:00,30.0,91.4,1.0,5,ESP,Tropical forest savanna,49.0
ESP_SAN_B2_100,130.98,6288,2013-06-11T23:00:00+00:00,2013-10-20T22:30:00+00:00,30.0,91.4,1.0,5,ESP,Tropical forest savanna,49.0
JPN_EBE_SUG,136.9,10000,2016-03-31T16:00:00+00:00,2016-08-15T13:40:00+00:00,10.0,70.8,0.6,3,JPN,Temperate forest,40.0
MDG_SEM_TAL,146.98,7056,2015-05-06T21:00:00+00:00,2015-09-30T20:30:00+00:00,30.0,92.0,1.0,5,MDG,Tropical forest savanna,950.0
AUT_PAT_TRE,157.0,7537,2007-04-21T23:00:00+00:00,2007-09-25T23:00:00+00:00,30.0,84.4,0.6,3,AUT,Boreal forest,2110.0
AUS_KAR,161.96,4549,2008-04-22T16:00:00+00:00,2008-10-01T15:00:00+00:00,60.0,82.1,0.6,3,AUS,Subtropical desert,710.0
AUS_MAR_MSD_MOD,162.6,10000,2010-02-28T14:00:00+00:00,2010-08-10T04:30:00+00:00,30.0,87.2,1.0,5,AUS,Temperate forest,467.0
AUS_MAR_MSW_MOD,162.6,10000,2010-02-28T14:00:00+00:00,2010-08-10T04:30:00+00:00,30.0,87.2,1.0,5,AUS,Temperate forest,261.0
AUS_MAR_UBW,162.6,10000,2010-02-28T14:00:00+00:00,2010-08-10T04:29:59+00:00,30.0,90.0,1.0,5,AUS,Temperate forest,336.0
AUS_MAR_UBD,162.6,10000,2010-02-28T14:00:00+00:00,2010-08-10T04:29:59+00:00,30.0,90.0,1.0,5,AUS,Temperate forest,303.0
AUS_MAR_HSD_HIG,162.6,10000,2010-02-28T14:00:00+00:00,2010-08-10T04:30:00+00:00,30.0,87.2,1.0,5,AUS,Temperate forest,468.0
AUT_PAT_KRU,171.35,8226,2007-04-21T23:00:00+00:00,2007-10-10T07:29:59+00:00,30.0,84.0,0.6,3,AUT,Boreal forest,2180.0
USA_WIL_WC1,174.66,10000,2000-01-01T06:00:00+00:00,2000-06-23T21:45:00+00:00,30.0,86.8,1.0,5,USA,Temperate forest,520.0
AUT_PAT_FOR,178.46,8567,2007-04-20T23:00:00+00:00,2007-10-16T10:00:00+00:00,30.0,85.2,0.6,3,AUT,Boreal forest,1950.0
USA_SYL_HL1,183.66,10000,2002-01-01T05:00:00+00:00,2002-07-03T20:45:00+00:00,30.0,78.0,0.6,3,USA,Temperate forest,500.0
USA_BNZ_BLA,194.66,10000,2012-01-01T09:00:00+00:00,2012-07-14T00:45:00+00:00,30.0,86.4,1.0,5,USA,Woodland/Shrubland,50.0
CHN_HOR_AFF,207.96,4992,2015-03-26T16:00:00+00:00,2015-10-20T15:00:24+00:00,60.0,93.8,1.0,5,CHN,Woodland/Shrubland,226.5
CHN_YUN_YUN,208.04,10000,2010-10-15T16:00:00+00:00,2011-05-11T17:00:00+00:00,30.0,94.2,1.0,5,CHN,Tropical forest savanna,0.0
SWE_SKO_MIN,208.31,10000,2014-12-31T23:00:00+00:00,2015-07-28T06:30:00+00:00,30.0,94.2,1.0,5,SWE,Temperate forest,76.0
SWE_NOR_ST1_AF1,208.31,10000,2008-12-31T23:30:00+00:00,2009-07-28T07:00:00+00:00,30.0,94.2,1.0,5,SWE,Woodland/Shrubland,45.0
SWE_SKY_38Y,208.31,10000,2000-12-31T23:30:00+00:00,2001-07-28T07:00:00+00:00,30.0,92.2,1.0,5,SWE,Woodland/Shrubland,50.0
SWE_SKY_68Y,208.31,10000,2000-12-31T23:30:00+00:00,2001-07-28T07:00:00+00:00,30.0,92.2,1.0,5,SWE,Woodland/Shrubland,50.0
ESP_MAJ_NOR_LM1,208.31,10000,2015-02-04T14:30:00+00:00,2015-08-31T22:00:00+00:00,30.0,94.2,1.0,5,ESP,Woodland/Shrubland,260.0
ESP_RON_PIL,208.31,10000,2011-04-14T23:15:25+00:00,2011-11-09T06:45:28+00:00,30.0,82.3,0.6,3,ESP,Temperate forest,1734.0
ESP_MAJ_MAI,208.31,10000,2015-01-29T16:00:00+00:00,2015-08-25T23:30:00+00:00,30.0,94.2,1.0,5,ESP,Woodland/Shrubland,260.0
CHE_PFY_CON,208.31,10000,2013-06-06T14:00:00+00:00,2013-12-31T21:30:00+00:00,30.0,84.1,0.6,3,CHE,Woodland/Shrubland,615.0
CAN_TUR_P39_PRE,208.31,10000,2009-01-01T00:30:00+00:00,2009-07-28T08:00:00+00:00,30.0,94.3,1.0,5,CAN,Temperate forest,184.0
CHE_PFY_IRR,208.31,10000,2013-06-06T14:00:00+00:00,2013-12-31T21:30:00+00:00,30.0,84.1,0.6,3,CHE,Woodland/Shrubland,615.0
CAN_TUR_P39_POS,208.31,10000,2009-01-01T00:30:00+00:00,2009-07-28T08:00:00+00:00,30.0,94.3,1.0,5,CAN,Temperate forest,184.0
CAN_TUR_P74,208.31,10000,2009-01-01T00:30:00+00:00,2009-07-28T08:00:00+00:00,30.0,94.2,1.0,5,CAN,Temperate forest,184.0
AUS_CAN_ST2_MIX,208.31,10000,2006-06-20T01:00:00+00:00,2007-01-14T08:30:00+00:00,30.0,91.3,1.0,5,AUS,Woodland/Shrubland,180.0
AUS_CAN_ST1_EUC,208.31,10000,2006-06-20T01:00:00+00:00,2007-01-14T08:30:00+00:00,30.0,91.3,1.0,5,AUS,Woodland/Shrubland,180.0
AUS_ELL_MB_MOD,208.31,10000,2009-06-02T14:00:00+00:00,2009-12-27T21:30:00+00:00,30.0,92.7,1.0,5,AUS,Temperate forest,693.0
AUS_ELL_HB_HIG,208.31,10000,2009-06-02T14:00:00+00:00,2009-12-27T21:30:00+00:00,30.0,92.7,1.0,5,AUS,Temperate forest,705.0
AUS_CAR_THI_TPF,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
AUS_CAR_THI_TP0,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
ESP_SAN_B_100,208.31,10000,2014-04-20T23:08:00+00:00,2014-11-15T06:37:00+00:00,30.0,92.4,1.0,5,ESP,Tropical forest savanna,49.0
ESP_SAN_A_45I,208.31,10000,2014-04-20T23:08:00+00:00,2014-11-15T06:37:00+00:00,30.0,92.1,1.0,5,ESP,Tropical forest savanna,49.0
AUS_CAR_THI_CON,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
FRA_HES_HE1_NON,208.31,10000,1997-04-15T00:30:00+00:00,1997-11-09T08:00:00+00:00,30.0,90.6,1.0,5,FRA,Temperate forest,300.0
KOR_TAE_TC1_LOW,208.31,10000,2011-12-31T15:30:00+00:00,2012-07-26T23:00:00+00:00,30.0,84.2,1.0,5,KOR,Temperate forest,160.0
GUF_NOU_PET,208.31,10000,2015-01-01T03:00:00+00:00,2015-07-28T10:30:00+00:00,30.0,84.8,0.6,3,GUF,Tropical rain forest,120.0
FRA_HES_HE2_NON,208.31,10000,2000-01-01T00:30:00+00:00,2000-07-27T08:00:00+00:00,30.0,89.9,1.0,5,FRA,Temperate forest,300.0
FRA_PUE,208.31,10000,1999-12-31T23:30:00+00:00,2000-07-27T07:00:00+00:00,30.0,91.2,1.0,5,FRA,Woodland/Shrubland,270.0
FRA_FON,208.31,10000,2005-12-31T23:30:00+00:00,2006-07-28T07:00:00+00:00,30.0,81.3,1.0,5,FRA,Woodland/Shrubland,105.0
ESP_YUN_T3_THI,208.31,10000,2009-06-21T23:15:42+00:00,2010-01-16T06:45:04+00:00,30.0,83.3,0.6,3,ESP,Woodland/Shrubland,1185.0
ESP_YUN_C1,208.31,10000,2009-06-20T23:15:41+00:00,2010-01-15T06:45:03+00:00,30.0,78.4,0.6,3,ESP,Woodland/Shrubland,1220.0
ESP_YUN_C2,208.31,10000,2011-04-14T23:15:25+00:00,2011-11-09T06:45:28+00:00,30.0,78.9,0.6,3,ESP,Woodland/Shrubland,1180.0
THA_KHU,208.31,10000,2006-12-14T17:00:00+00:00,2007-07-11T00:30:00+00:00,30.0,91.8,1.0,5,THA,Tropical forest savanna,150.0
USA_CHE_ASP,208.31,10000,2004-07-27T01:30:00+00:00,2005-02-20T09:00:00+00:00,30.0,82.7,1.0,5,USA,Temperate forest,477.0
SWE_NOR_ST5_REF,208.31,10000,1997-12-31T23:00:00+00:00,1998-07-28T06:30:00+00:00,30.0,90.8,1.0,5,SWE,Woodland/Shrubland,45.0
SWE_NOR_ST1_BEF,208.31,10000,2006-12-31T23:30:00+00:00,2007-07-28T07:00:00+00:00,30.0,93.7,1.0,5,SWE,Woodland/Shrubland,45.0
IDN_PON_STE,208.31,10000,2007-12-31T16:00:00+00:00,2008-07-26T23:30:00+00:00,30.0,83.1,0.6,3,IDN,Tropical forest savanna,1050.0
GUF_GUY_GUY,208.31,10000,2014-01-01T03:00:00+00:00,2014-07-28T10:30:00+00:00,30.0,93.9,1.0,5,GUF,Tropical rain forest,40.0
ITA_TOR,208.31,10000,2015-03-02T23:00:00+00:00,2015-09-27T06:30:00+00:00,30.0,92.9,1.0,5,ITA,Temperate forest,2100.0
KOR_TAE_TC2_MED,208.31,10000,2011-12-31T15:30:00+00:00,2012-07-26T23:00:00+00:00,30.0,84.2,1.0,5,KOR,Temperate forest,160.0
GUF_GUY_ST2,208.31,10000,2008-01-01T03:00:00+00:00,2008-07-27T10:30:00+00:00,30.0,94.1,1.0,5,GUF,Tropical rain forest,45.0
ESP_YUN_T1_THI,208.31,10000,2010-04-22T23:15:00+00:00,2010-11-17T06:45:00+00:00,30.0,79.8,0.6,3,ESP,Woodland/Shrubland,1190.0
KOR_TAE_TC3_EXT,208.31,10000,2011-12-31T15:30:00+00:00,2012-07-26T23:00:00+00:00,30.0,84.2,1.0,5,KOR,Temperate forest,160.0
RUS_CHE_Y4,208.31,10000,2013-07-13T05:30:00+00:00,2014-02-06T13:00:00+00:00,30.0,91.5,1.0,5,RUS,Tundra,6.0
RUS_FYO,208.31,10000,1998-12-31T21:00:00+00:00,1999-07-28T04:30:00+00:00,30.0,93.0,1.0,5,RUS,Temperate forest,260.0
SWE_NOR_ST2,208.31,10000,2000-12-31T23:30:00+00:00,2001-07-28T07:00:00+00:00,30.0,91.0,1.0,5,SWE,Woodland/Shrubland,45.0
SWE_NOR_ST1_AF2,208.31,10000,2008-12-31T23:30:00+00:00,2009-07-28T07:00:00+00:00,30.0,94.2,1.0,5,SWE,Woodland/Shrubland,45.0
NLD_LOO,208.31,10000,2011-12-31T23:30:00+00:00,2012-07-27T07:00:00+00:00,30.0,94.0,1.0,5,NLD,Woodland/Shrubland,25.0
SWE_NOR_ST3,208.31,10000,2001-12-31T23:30:00+00:00,2002-07-28T07:00:00+00:00,30.0,91.3,1.0,5,SWE,Woodland/Shrubland,45.0
SWE_NOR_ST4_AFT,208.31,10000,1998-12-31T23:00:00+00:00,1999-07-28T06:30:00+00:00,30.0,91.0,1.0,5,SWE,Woodland/Shrubland,45.0
SWE_NOR_ST4_BEF,208.31,10000,1997-12-31T23:00:00+00:00,1998-07-28T06:30:00+00:00,30.0,90.6,1.0,5,SWE,Woodland/Shrubland,45.0
USA_PER_PER,208.31,10000,2013-01-01T05:00:00+00:00,2013-07-28T12:30:00+00:00,30.0,94.2,1.0,5,USA,Tropical forest savanna,14.0
AUS_CAR_THI_T0F,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
AUS_CAR_THI_T00,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
BRA_SAN,208.31,10000,2008-06-28T15:00:00+00:00,2009-01-22T22:30:00+00:00,30.0,90.0,1.0,5,BRA,Temperate forest,1000.0
AUS_CAR_THI_0P0,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
AUS_CAR_THI_0PF,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
BRA_CAM,208.31,10000,2011-03-10T03:00:00+00:00,2011-10-04T10:30:00+00:00,30.0,88.2,1.0,5,BRA,Temperate forest,2000.0
AUT_TSC,208.31,10000,2012-03-13T23:00:00+00:00,2012-10-08T06:30:00+00:00,30.0,83.6,0.6,3,AUT,Woodland/Shrubland,750.0
AUS_WOM,208.31,10000,2012-12-31T14:30:00+00:00,2013-07-27T22:00:00+00:00,30.0,94.2,1.0,5,AUS,Temperate forest,705.0
AUS_MAR_HSW_HIG,208.31,10000,2010-02-28T14:00:10+00:00,2010-09-24T21:30:00+00:00,30.0,89.7,1.0,5,AUS,Temperate forest,297.0
AUS_ELL_UNB,208.31,10000,2009-06-02T14:00:00+00:00,2009-12-27T21:30:00+00:00,30.0,92.7,1.0,5,AUS,Temperate forest,737.0
AUS_CAR_THI_00F,208.31,10000,2008-09-08T08:00:00+00:00,2009-04-04T15:30:00+00:00,30.0,84.2,1.0,5,AUS,Temperate forest,610.0
AUS_CAN_ST3_ACA,208.31,10000,2006-06-20T01:00:00+00:00,2007-01-14T08:30:00+00:00,30.0,91.3,1.0,5,AUS,Woodland/Shrubland,180.0
UZB_YAN_DIS,208.31,10000,2012-12-31T19:00:00+00:00,2013-07-28T02:30:00+00:00,30.0,94.3,1.0,5,UZB,Temperate grassland desert,101.0
USA_UMB_CON,208.31,10000,2010-01-01T05:00:00+00:00,2010-07-28T12:30:00+00:00,30.0,91.5,1.0,5,USA,Temperate forest,236.0
USA_WIL_WC2,208.31,10000,2015-01-01T06:00:00+00:00,2015-07-28T13:30:00+00:00,30.0,76.4,0.2,1,USA,Temperate forest,520.0
USA_SIL_OAK_2PR,208.31,10000,2005-01-01T05:30:00+00:00,2005-07-28T13:00:00+00:00,30.0,92.4,1.0,5,USA,Temperate forest,33.0
USA_HUY_LIN_NON,208.31,10000,2017-01-01T05:00:00+00:00,2017-07-28T12:30:00+00:00,30.0,93.6,1.0,5,USA,Temperate forest,
