cluster,total_rows,train_samples,test_samples,train_rmse,test_rmse,train_r2,test_r2,train_mae,test_mae,feature_count,best_iteration
0,1944137,1555309,388828,1.1058007547447755,1.4473766272764408,0.9570908925417368,0.9264300773570564,0.4960936447770332,0.5358189971822419,304,200
1,3336038,2668830,667208,0.6374799694537935,0.694835274367519,0.9257882775584207,0.911653052005975,0.3265431745546139,0.3389492887642206,304,200
2,1437731,1150184,287547,1.735278671909241,2.0123411268319464,0.9618712730634804,0.948466550729454,0.8653400675214038,0.9279390064075431,304,200
3,687770,550216,137554,1.0089822666438502,1.1865274776208354,0.9746694288127494,0.9645162490804821,0.6062258502491739,0.6749078892901719,304,200
4,4318846,3455076,863770,2.0928085284192797,1.711644029476285,0.9954681953383175,0.9306567069689698,0.9452744179480984,0.9612842661978088,304,200
