feature_index,feature_name,description,category,importance_score
f19,n_trees,No description available,Unknown category,129374.6484375
f17,leaf_area_index,No description available,Unknown category,56751.98046875
f12,mean_annual_precip,No description available,Unknown category,35407.27734375
f42,tree_age_class_code,No description available,Unknown category,18313.041015625
f11,mean_annual_temp,No description available,Unknown category,10231.6025390625
f15,tree_density,No description available,Unknown category,8180.92041015625
f13,stand_age,No description available,Unknown category,5808.71923828125
f16,stand_height,No description available,Unknown category,4115.10986328125
f33,sapwood_leaf_ratio,No description available,Unknown category,3904.68994140625
f7,ext_rad,No description available,Unknown category,2444.696533203125
f26,pl_sapw_depth,No description available,Unknown category,1912.013671875
f9,longitude,No description available,Unknown category,999.2868041992188
f3,sw_in,No description available,Unknown category,933.515869140625
f21,pl_dbh,No description available,Unknown category,931.7435302734375
f23,pl_leaf_area,No description available,Unknown category,824.696533203125
f20,pl_age,No description available,Unknown category,823.6017456054688
f8,latitude,No description available,Unknown category,789.3946533203125
f10,elevation,No description available,Unknown category,721.1068725585938
f25,pl_sapw_area,No description available,Unknown category,716.1896362304688
f24,pl_bark_thick,No description available,Unknown category,636.1792602539062
f22,pl_height,No description available,Unknown category,565.6202392578125
f4,ppfd_in,No description available,Unknown category,391.83135986328125
f34,tree_volume_index,No description available,Unknown category,374.2059631347656
f2,vpd,No description available,Unknown category,343.2830810546875
f1,rh,No description available,Unknown category,326.2190246582031
f14,basal_area,No description available,Unknown category,289.1327209472656
f0,ta,No description available,Unknown category,263.39776611328125
f18,soil_depth,No description available,Unknown category,211.7998504638672
f28,aridity_index,No description available,Unknown category,201.4320068359375
f41,tree_size_class_code,No description available,Unknown category,171.7902069091797
f5,ws,No description available,Unknown category,168.10569763183594
f40,pl_social_code,No description available,Unknown category,167.6068878173828
f32,social_status_code,No description available,Unknown category,150.37039184570312
f27,latitude_abs,No description available,Unknown category,132.02426147460938
f31,igbp_code,No description available,Unknown category,110.73919677734375
f44,swc_shallow,No description available,Unknown category,77.83380126953125
f6,precip,No description available,Unknown category,42.879310607910156
f39,growth_condition_code,No description available,Unknown category,26.142333984375
