site,category,temporal_coverage_days,has_env_data,has_sapf_data,has_valid_sapf_data,sapf_columns_count,exclude_reason,data_quality_issues
RUS_FYO,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SEN_SOU_IRR,moderate_temporal,60.95834490740741,True,True,True,3,,Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
SEN_SOU_POS,adequate_temporal,487.9583449074074,True,True,True,3,,
SEN_SOU_PRE,adequate_temporal,883.9583333333334,True,True,True,3,,
SWE_NOR_ST1_AF1,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST1_AF2,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST1_BEF,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST2,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST3,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST4_AFT,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST4_BEF,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_NOR_ST5_REF,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_SKO_MIN,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_SKY_38Y,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
SWE_SKY_68Y,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
THA_KHU,adequate_temporal,495.9791666666667,True,True,True,6,,
USA_BNZ_BLA,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_CHE_ASP,adequate_temporal,346.7708333333333,True,True,True,96,,
USA_CHE_MAP,moderate_temporal,31.0,True,True,True,118,,
USA_DUK_HAR,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_HIL_HF1_POS,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_HIL_HF1_PRE,adequate_temporal,228.99305555555554,True,True,True,21,,
USA_HIL_HF2,adequate_temporal,2378.4583333333335,True,True,True,23,,
USA_HUY_LIN_NON,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_INM,adequate_temporal,633.125,True,True,True,9,,
USA_MOR_SF,adequate_temporal,792.9583333333334,True,True,True,6,,Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
USA_NWH,moderate_temporal,81.97916666666667,True,True,True,10,,
USA_PAR_FER,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_PER_PER,adequate_temporal,364.9791666666667,True,True,True,57,,
USA_PJS_P04_AMB,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_PJS_P08_AMB,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_PJS_P12_AMB,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SIL_OAK_1PR,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SIL_OAK_2PR,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SIL_OAK_POS,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SMI_SCB,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SMI_SER,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SWH,adequate_temporal,109.97916666666667,True,True,True,16,,
USA_SYL_HL1,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_SYL_HL2,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_TNB,adequate_temporal,551.2916666666666,True,True,True,4,,
USA_TNO,adequate_temporal,640.5833333333334,True,True,True,9,,
USA_TNP,adequate_temporal,671.9583333333334,True,True,True,6,,
USA_TNY,adequate_temporal,555.125,True,True,True,8,,
USA_UMB_CON,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_UMB_GIR,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_WIL_WC1,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_WIL_WC2,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
USA_WVF,adequate_temporal,646.5416666666666,True,True,True,8,,
UZB_YAN_DIS,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
ZAF_FRA_FRA,adequate_temporal,391.95832175925926,True,True,True,3,,
ZAF_NOO_E3_IRR,adequate_temporal,801.0005671296296,True,True,True,6,,
ZAF_RAD,adequate_temporal,273.9583333333333,True,True,True,3,,
ZAF_SOU_SOU,adequate_temporal,273.9583333333333,True,True,True,2,,Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
ZAF_WEL_SOR,adequate_temporal,359.9582175925926,True,True,True,3,,
