site,cluster,cluster_method,longitude,latitude,latitude_abs,mean_annual_temp,mean_annual_precip,aridity_index,elevation,seasonal_temp_range,seasonal_precip_range,temp_precip_ratio,seasonality_index,climate_continentality,elevation_latitude_ratio,aridity_seasonality,temp_elevation_ratio,precip_latitude_ratio,tree_volume_index,stand_age,n_trees,tree_density,basal_area,stand_height,tree_size_class_code,sapwood_leaf_ratio,pl_dbh,pl_age,pl_height,pl_leaf_area,pl_sapw_depth,pl_sapw_area,climate_zone_code_0,climate_zone_code_1,climate_zone_code_2,biome_code_11.0,biome_code_15.0,igbp_class_code_1,igbp_class_code_2,igbp_class_code_3,igbp_class_code_4,igbp_class_code_5,igbp_class_code_8,igbp_class_code_9,igbp_class_code_11,leaf_habit_code_1.0,leaf_habit_code_3.0,soil_texture_code_1.0,soil_texture_code_2.0,soil_texture_code_3.0,soil_texture_code_4.0,soil_texture_code_6.0,soil_texture_code_7.0,soil_texture_code_8.0,soil_texture_code_9.0,soil_texture_code_12.0,terrain_code_1.0,terrain_code_2.0,species_functional_group_code_0,species_functional_group_code_1,species_functional_group_code_2,species_functional_group_code_3,species_functional_group_code_4,koppen_geiger_code_encoded_0
AUS_KAR,1,kmeans_minmax_3,118.218654,-22.623701,22.623701,23.82472977341696,362.650585041797,10.721462890349713,710.0,18.907242524916946,0.0,0.06551544464222052,1.1815621770960634,0.8003505684785354,30.054562576795227,12.668075034376258,28.439729773416957,15.351133382605756,8062.6770000000015,75.0,14,687.0,22.47,14.0,1.0,6.8631082525396465,21.5,40.0,13.0,8.3,1.44,77.18,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
AUS_MAR_HSD_HIG,1,kmeans_minmax_3,145.581,-37.643,37.643,12.987084661338354,1164.955907913101,50.67871481207983,468.0,10.032836583046025,0.10401887758003071,0.011138572713768764,0.205466220163823,0.25962882237523033,12.110860958000154,10.412763975198391,16.029084661338352,30.146621843881196,7225.0,46.15,1,192.0,40.6,25.0,1.0,6.8631082525396465,17.0,40.0,25.0,8.3,0.7,30.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_HSW_HIG,1,kmeans_minmax_3,145.574,-37.647,37.647,13.30955191076148,1163.5878143762857,49.91892674861263,297.0,11.72408611463992,0.09778247096092926,0.011428551584055197,0.14407944633660819,0.3033634205666655,7.684943203870935,7.1922913276578075,15.24005191076148,30.10810190639081,196000.0,46.15,1,91.0,30.9,40.0,3.0,6.8631082525396465,70.0,40.0,40.0,8.3,1.5,326.8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_MSD_MOD,1,kmeans_minmax_3,145.584,-37.642,37.642,12.983087442057236,1161.7564640476176,50.548320236631696,467.0,10.034763269540694,0.1075019973547638,0.011165783931110057,0.20457942765412562,0.25968540110606836,12.085295792143263,10.341146422887569,16.018587442057235,30.0646049388649,19600.0,46.15,1,375.0,76.0,25.0,1.0,6.8631082525396465,28.0,40.0,25.0,8.3,1.0,79.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_MSW_MOD,1,kmeans_minmax_3,145.572,-37.649,37.649,13.527964974653184,1164.393680753294,49.48977448783616,261.0,11.742370341191092,0.11128010139416986,0.01160806446617155,0.14216342199612228,0.3038208062612511,6.75308546146084,7.035635695007178,15.224464974653184,30.127394777440397,256000.0,46.15,2,95.0,48.3,40.0,3.0,6.8631082525396465,80.0,40.0,40.0,8.3,1.5,373.8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_UBD,1,kmeans_minmax_3,145.565,-37.691,37.691,13.101644903007536,1282.168534783906,55.50117925226113,303.0,12.02609885589688,0.3944525547445253,0.01021038511142571,0.13194734196181793,0.31082419311718174,7.831278591920602,7.323233078082254,15.071144903007536,33.13867656002444,160000.0,46.15,1,461.0,75.4,25.0,3.0,6.8631082525396465,80.0,40.0,25.0,8.3,1.2,324.05,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_UBW,1,kmeans_minmax_3,145.572,-37.888,37.888,13.668635409075316,1112.7457818178025,47.01351652031194,336.0,11.936976408180842,0.19000000000000128,0.012272670866385706,0.14516263586395867,0.3069578381038069,8.64019749022835,6.824605979322247,15.852635409075315,28.61411699798916,81000.0,46.15,3,179.0,73.4,40.0,2.0,12.299998462500193,45.0,40.0,40.0,8.0,0.7,98.4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_WOM,1,kmeans_minmax_3,144.0944,-37.4222,37.4222,10.917803669211503,1023.8291743244558,48.945347729379904,705.0,11.68908257911752,0.016804864566058595,0.010653291243790237,0.1640105724452372,0.30422731075049114,18.348767119009324,8.027554499626788,15.500303669211503,26.64681289266247,8062.6770000000015,46.15,6,1018.0,42.0,22.0,2.0,6.8631082525396465,46.7,40.0,13.0,8.3,1.788,903.5101845,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUT_PAT_FOR,0,kmeans_minmax_3,11.45194444,47.21027778,47.21027778,1.8686732673635589,1258.8781447324286,106.0673014054644,1950.0,5.984289182442671,0.05756880733944954,0.0014832174644639348,0.7941528443942203,0.12412890897976218,40.447806770550415,84.23364910836864,14.543673267363557,26.11223586964424,35000.0,60.0,3,687.0,22.47,12.0,2.0,2.617187489776611,50.0,60.0,14.0,256.0,2.0,670.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
AUT_PAT_KRU,0,kmeans_minmax_3,11.45194444,47.21027778,47.21027778,1.8686732673635589,1258.8781447324286,106.0673014054644,2180.0,8.1366828356986,0.06400550584996559,0.0014832174644639348,0.4752025065735968,0.1687748590213288,45.218573722974305,50.403447493373875,16.03867326736356,26.11223586964424,49.0,16.0,3,687.0,22.47,0.75,0.0,1.5499999225000038,7.0,16.0,1.0,20.0,2.0,31.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
