feature_index,feature_name,description,category,importance_score
f8,hour,Hour of day,Temporal,84399.1328125
f42,ta_std_12h,Temperature 12h-hour standard deviation,Rolling,65942.390625
f30,is_night,Night indicator,Temporal,26390.474609375
f19,solar_hour,Solar hour,Temporal,14440.634765625
f6,vpd,Vapor pressure deficit,Environmental,13024.31640625
f54,ta_std_720h,Temperature 720h-hour standard deviation,Rolling,11459.4716796875
f14,hour_cos,Cosine of hour (cyclical),Temporal,11149.1904296875
f52,ta_std_336h,Temperature 336h-hour standard deviation,Rolling,9769.16796875
f18,month_cos,Cosine of month (cyclical),Temporal,9721.4130859375
f9,day_of_year,Day of year,Temporal,9136.5224609375
f46,ta_std_48h,Temperature 48h-hour standard deviation,Rolling,8967.875
f20,solar_day_of_year,Solar day of year,Temporal,8498.6005859375
f10,month,Month,Temporal,8472.865234375
f55,vpd_mean_3h,VPD 3h-hour mean,Rolling,6879.27783203125
f12,day_of_week,Day of week,Temporal,6357.6328125
f64,vpd_std_48h,VPD 48h-hour standard deviation,Rolling,6136.92333984375
f43,ta_mean_24h,Temperature 24h-hour mean,Rolling,4751.255859375
f15,day_sin,Sine of day of year (cyclical),Temporal,4726.85107421875
f21,solar_hour_sin,Sine of solar hour,Temporal,3589.350341796875
f39,ta_mean_6h,Temperature 6h-hour mean,Rolling,3363.182861328125
f26,is_peak_sunlight,Peak sunlight indicator (10-16h),Temporal,3142.335205078125
f0,ta,Air temperature,Environmental,3059.508056640625
f23,solar_day_sin,Sine of solar day,Temporal,2967.7802734375
f61,vpd_mean_24h,VPD 24h-hour mean,Rolling,2448.455322265625
f37,ta_mean_3h,Temperature 3h-hour mean,Rolling,2410.523193359375
f5,ppfd_in,Photosynthetic photon flux density,Environmental,2140.714111328125
f41,ta_mean_12h,Temperature 12h-hour mean,Rolling,1939.3570556640625
f53,ta_mean_720h,Temperature 720h-hour mean,Rolling,1925.2908935546875
f7,ext_rad,Extraterrestrial radiation,Environmental,1874.1029052734375
f40,ta_std_6h,Temperature 6h-hour standard deviation,Rolling,1852.411376953125
f33,is_autumn,Autumn season indicator,Temporal,1807.2010498046875
f35,hours_since_sunrise,Hours since sunrise,Temporal,1343.2362060546875
f17,month_sin,Sine of month (cyclical),Temporal,1320.9000244140625
f48,ta_std_72h,Temperature 72h-hour standard deviation,Rolling,1236.8072509765625
f29,is_afternoon,Afternoon indicator (12-18h),Temporal,1226.7008056640625
f25,is_daylight,Daylight indicator (6-18h),Temporal,1214.8055419921875
f4,precip,Precipitation,Environmental,1113.8917236328125
f63,vpd_mean_48h,VPD 48h-hour mean,Rolling,1077.0806884765625
f1,rh,Relative humidity,Environmental,1072.974365234375
f36,hours_since_sunset,Hours since sunset,Temporal,1070.6192626953125
f22,solar_hour_cos,Cosine of solar hour,Temporal,1029.1937255859375
f2,sw_in,Shortwave incoming radiation,Environmental,1019.0931396484375
f13,hour_sin,Sine of hour (cyclical),Temporal,971.9723510742188
f3,ws,Wind speed,Environmental,915.229736328125
f11,year,Year,Temporal,865.0122680664062
f58,vpd_std_6h,VPD 6h-hour standard deviation,Rolling,829.734130859375
f38,ta_std_3h,Temperature 3h-hour standard deviation,Rolling,754.3331909179688
f59,vpd_mean_12h,VPD 12h-hour mean,Rolling,664.267822265625
f24,solar_day_cos,Cosine of solar day,Temporal,624.1605224609375
f28,is_morning,Morning indicator (6-12h),Temporal,594.8646240234375
f60,vpd_std_12h,VPD 12h-hour standard deviation,Rolling,561.296875
f27,is_weekend,Weekend indicator,Temporal,505.54632568359375
f62,vpd_std_24h,VPD 24h-hour standard deviation,Rolling,484.9095764160156
f47,ta_mean_72h,Temperature 72h-hour mean,Rolling,437.4421081542969
f31,is_spring,Spring season indicator,Temporal,436.7746276855469
f16,day_cos,Cosine of day of year (cyclical),Temporal,358.0834045410156
f65,vpd_mean_72h,VPD 72h-hour mean,Rolling,349.0902099609375
f44,ta_std_24h,Temperature 24h-hour standard deviation,Rolling,264.5137023925781
f56,vpd_std_3h,VPD 3h-hour standard deviation,Rolling,245.27667236328125
f57,vpd_mean_6h,VPD 6h-hour mean,Rolling,161.96310424804688
