cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
0,1,CHN_ARG_GWD.parquet,374927,40280,0.5679053983509158,9.206344778107068,0.3590165636848263,5.9121068920041955,0.9926766018778178,-0.4622474457585668
0,2,CHN_ARG_GWS.parquet,374821,40386,0.5825020240367349,9.910987943428939,0.3637280630276239,6.657496623174564,0.9906413977529651,-0.04331509088510477
0,3,CHN_HOR_AFF.parquet,365511,49696,0.5986648660966438,2.836329453982552,0.38319269076185464,2.291483119687823,0.9929405747200584,0.0688417519577662
0,4,CHN_YIN_ST1.parquet,354417,60790,0.5233258971983036,5.339563392873226,0.3320103208014658,3.50491039510499,0.9940238504636355,0.3974470375082306
0,5,CHN_YIN_ST2_DRO.parquet,390659,24548,0.5663754481632556,6.380090432346694,0.3587568003480692,4.9983320430815255,0.9928232401210922,0.15435347369535413
0,6,CHN_YIN_ST3_DRO.parquet,378688,36519,0.588398055399278,5.3371564167233,0.36784362477621596,3.6098014118429074,0.993021077787174,-0.9570710640480424
0,7,CHN_YUN_YUN.parquet,347639,67568,0.6323190808962701,1.6216550438272974,0.413892040945151,1.4340614371436742,0.9921169443232298,-16.752955076672116
0,8,RUS_CHE_LOW.parquet,393708,21499,0.48915174990873095,11.158827822289638,0.3215914207323773,7.1948139674275815,0.9944735091464861,-0.4587461927681715
0,9,THA_KHU.parquet,341286,73921,0.5859801213538576,7.7517369785000625,0.3773859140938928,6.9201677007207545,0.9934347009319715,-29.284498990113487
1,1,BRA_CAM.parquet,138330,31476,0.9385331141436005,3.264499360625888,0.46143590708655924,2.001776264121044,0.9624230021052004,0.3967296742089639
1,2,BRA_SAN.parquet,130407,39399,0.9467455920894646,2.552683880067045,0.46334142951370166,1.51543816828026,0.9651029665721196,0.43026891529362565
1,3,MDG_SEM_TAL.parquet,148068,21738,0.9556631458823869,1.1104453713008453,0.5014709072577909,0.799573654972736,0.9630445579080649,-4.806911630154046
1,4,MDG_YOU_SHO.parquet,159786,10020,0.9306377991448237,0.7965150948409893,0.4846686998970542,0.6214129955773344,0.9630443296523505,-4.257253902747081
1,5,ZAF_FRA_FRA.parquet,145755,24051,0.5928427063696118,6.93528703750914,0.3756493000865778,5.70421837095369,0.9848733215923396,-1.7160834316245195
1,6,ZAF_RAD.parquet,154266,15540,0.8895598393101632,5.448280416704834,0.4267686409553919,3.119239400624433,0.9505079296322799,0.5748048299622144
1,7,ZAF_SOU_SOU.parquet,159510,10296,0.9069576129073265,3.3224790682998346,0.45427157646158833,2.4944719277975436,0.9609352703952185,0.701527522719039
1,8,ZAF_WEL_SOR.parquet,152520,17286,0.8911202664955896,5.4430120336593895,0.43699067872523056,3.9547875893458433,0.9649580165941182,-0.41799473849942936
2,1,AUS_BRI_BRI.parquet,1432117,5935,1.8861013608936206,5.067678157054776,0.9722090030669217,3.216130864204768,0.9551597453360422,-1.688472689649716
2,2,AUS_CAN_ST1_EUC.parquet,1435664,2388,1.8951769164184793,0.6230877834029764,0.9776117908248749,0.44864183384769124,0.9546361165677598,-0.15241462764674507
2,3,AUS_CAN_ST3_ACA.parquet,1435594,2458,1.869313292491692,0.599878379545674,0.969760435063878,0.4733042398015108,0.9558679152355289,-0.4636947811312855
2,4,AUS_CAR_THI_00F.parquet,1430030,8022,1.8640952467337972,5.0191777102543105,0.9662121781680347,2.9867633652431476,0.9560073519405262,0.6542309443068428
2,5,AUS_CAR_THI_0PF.parquet,1429824,8228,1.869356350069825,3.9197343818174044,0.9636835573445339,2.6863403077489494,0.9559391709787133,0.5009940720389632
2,6,AUS_CAR_THI_CON.parquet,1429623,8429,1.8574220241768031,3.7959010215399003,0.9618080209388387,2.588197053477552,0.9564577497859635,0.6514598202923747
2,7,AUS_CAR_THI_T00.parquet,1430682,7370,1.8554390048223655,5.792383871315632,0.9672828551820554,3.4857735863818884,0.9562559354512281,0.718983687404525
2,8,AUS_CAR_THI_T0F.parquet,1430361,7691,1.8655777308998214,4.595873716566441,0.9614804017314244,2.8194392370951373,0.9558840604398954,0.7525272047911706
2,9,AUS_ELL_MB_MOD.parquet,1398291,39761,1.719069286393548,12.073306391506298,0.9020129736202571,6.882541946358864,0.9597687940577669,0.355717476376597
2,10,AUS_ELL_UNB.parquet,1418518,19534,1.8201576029547595,10.73410271971477,0.9489133750668362,6.273064549861225,0.9572735274610784,0.10127618956279727
2,11,AUS_KAR.parquet,1407546,30506,1.8892026211713915,4.183923130162293,0.9741073271204483,2.9212713580026763,0.9556645505520708,-0.5116896514358646
2,12,AUS_MAR_HSD_HIG.parquet,1375661,62391,1.8423390772179578,7.403097035515171,0.9513447725449005,4.783162440591221,0.9577697627620149,-0.12616652310467602
2,13,AUS_MAR_HSW_HIG.parquet,1395704,42348,1.8856512153305294,7.639044408915713,0.9651518920841767,5.345689003019581,0.9542144292546184,0.5090229759903449
2,14,AUS_MAR_MSD_MOD.parquet,1376528,61524,1.687027444765419,15.690095367834818,0.8939613325049993,7.971872720870927,0.9531449368795253,0.3407259764361794
2,15,AUS_MAR_MSW_MOD.parquet,1389074,48978,1.7241951884333366,11.349049652696957,0.8959230866957246,6.4641419046491535,0.9574139246774505,0.48981283449854296
2,16,AUS_MAR_UBD.parquet,1422856,15196,1.8425609829495935,7.689179712822798,0.951268026842896,5.607431290271919,0.9567777458429881,0.3171987941010751
2,17,AUS_MAR_UBW.parquet,1410796,27256,1.8633398269802932,9.39313666837048,0.9590550505754756,6.116374876904885,0.9564998804220844,-1.3062514562045897
