cluster,total_sites,successful_folds,mean_test_r2,std_test_r2,mean_test_rmse,std_test_rmse,min_test_r2,max_test_r2
0,16,16,-0.43637770705785084,2.294974010626274,4.510277322832166,2.5233884415508228,-9.0619043652292,0.6103250672330041
1,27,27,-14.44981796785732,45.067249725187814,6.1943893260417715,4.212947498211347,-215.8824433794147,0.7486029719444124
2,44,44,-3.3630704389909254,10.431509208366636,6.538587640146312,8.456343388807456,-64.53761949821168,0.6918080908060191
