cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
4,19,ESP_VAL_SOR.parquet,4880430,136283,1.2071182958895175,2.3302252346225742,0.5661036348156263,1.5511836968421848,0.9016982929125976,0.17554356238675517
4,20,ESP_YUN_C1.parquet,4866546,150167,1.212662414976664,1.27510058145899,0.5704654047401648,0.8622269529991934,0.9018032733807466,0.17248030083910826
4,21,ESP_YUN_C2.parquet,4958762,57951,1.1993710663980168,1.7236579007333275,0.5691683525006875,1.1678408906829567,0.902437047584543,-0.4569998991350004
4,22,ESP_YUN_T1_THI.parquet,4898993,117720,1.1930515316969605,1.783430046963342,0.5636068528277145,0.911513611935755,0.9037960077548577,0.5179961532947388
4,23,ESP_YUN_T3_THI.parquet,4735454,281259,1.205043777313292,1.398581753065633,0.5677391451348917,0.7957154243657648,0.9047827918818637,0.41390428866739204
4,24,FRA_HES_HE1_NON.parquet,4966448,50265,1.1995177836547717,2.7653392696678387,0.567060993600989,1.1501519161206055,0.9016794278820204,0.3494532311555202
4,25,FRA_PUE.parquet,4779069,237644,1.1873639364032507,2.2097282063005173,0.5580418792309015,1.1668373815055544,0.9059674573842779,0.2747894404928479
4,26,GBR_ABE_PLO.parquet,4983719,32994,1.2054575594397343,2.8436023963478694,0.5697223736224378,2.1706997444914853,0.9010420228284303,-3.199842862332268
4,27,GBR_GUI_ST1.parquet,4941640,75073,1.2062177243337773,1.686211847133927,0.5694985220218084,1.1386235683656116,0.9014468025800467,0.304918451392294
4,28,HUN_SIK.parquet,4992392,24321,1.1958812411443498,4.311736173111449,0.5652108553200604,3.1192852689760144,0.9022809773239817,-1.3359723593618482
4,29,ITA_TOR.parquet,4970083,46630,1.1908029762102803,2.5528450531715396,0.5639886157243302,1.4514095270387573,0.9033216011571481,0.16678713488940122
4,30,NLD_LOO.parquet,4840555,176158,1.203734025102367,1.0556674223732858,0.5718014478690358,0.6093393017342162,0.9036660861306587,0.47722312868616146
4,31,NLD_SPE_DOU.parquet,4987126,29587,1.200648142994418,3.270143080142939,0.5684099396782836,2.442868924385216,0.9018068070627518,-5.79523138812968
4,32,PRT_MIT.parquet,4944285,72428,1.1831088754446708,5.505533138815944,0.5566998611678021,3.154525618305666,0.8968656723912065,0.5320605426372372
4,33,PRT_PIN.parquet,4718297,298416,1.1408403961546456,6.636344220921469,0.5314052627969251,3.989743031779437,0.8908749381011289,-0.00025800503112538564
4,34,SEN_SOU_IRR.parquet,5015818,895,1.1918254195217202,4.32741414271012,0.5654986319575652,3.471232539240519,0.9026293843344866,0.5311958491804765
4,35,SEN_SOU_POS.parquet,5013569,3144,1.1947038766887526,3.614305986927652,0.5667171220534938,2.644751119369628,0.9021123599806681,0.4809632738209658
4,36,SEN_SOU_PRE.parquet,4999950,16763,1.1880963508746787,4.274685121916886,0.5606471061081497,3.151533340470073,0.9022087100370033,0.4302032473092866
