feature_index,feature_name,column_index
f231,leaf_area_index,231
f232,soil_depth,232
f233,n_trees,233
f234,measurement_timestep,234
f235,pl_age,235
f236,pl_dbh,236
f237,pl_height,237
f238,pl_leaf_area,238
f239,pl_bark_thick,239
f240,pl_sapw_area,240
f241,pl_sapw_depth,241
f242,climate_zone_code,242
f243,latitude_abs,243
f244,aridity_index,244
f245,leaf_habit_code,245
f246,biome_code,246
f247,igbp_code,247
f248,social_status_code,248
f249,sapwood_leaf_ratio,249
f250,tree_volume_index,250
f251,timezone_offset,251
f252,measurement_frequency,252
f253,koppen_geiger_code_encoded,253
f254,igbp_class_code,254
f255,soil_texture_code,255
f256,terrain_code,256
f257,growth_condition_code,257
f258,pl_social_code,258
f259,tree_size_class_code,259
f260,tree_age_class_code,260
f261,species_functional_group_code,261
f262,pl_species_code,262
f263,swc_shallow,263
f264,clay_percentage,264
f265,sand_percentage,265
f266,silt_percentage,266
f267,water_stress_index,267
f268,temp_soil_interaction,268
f269,humidity_soil_interaction,269
f270,seasonal_temp_range,270
f271,seasonal_precip_range,271
