site,cluster
AUS_BRI_BRI.parquet,4
AUS_CAN_ST1_EUC.parquet,4
AUS_CAN_ST3_ACA.parquet,4
AUS_CAR_THI_00F.parquet,4
AUS_CAR_THI_0PF.parquet,4
AUS_CAR_THI_CON.parquet,4
AUS_CAR_THI_T00.parquet,4
AUS_CAR_THI_T0F.parquet,4
AUS_ELL_MB_MOD.parquet,4
AUS_ELL_UNB.parquet,4
AUS_KAR.parquet,4
AUS_MAR_HSD_HIG.parquet,4
AUS_MAR_HSW_HIG.parquet,4
AUS_MAR_MSD_MOD.parquet,4
AUS_MAR_MSW_MOD.parquet,4
AUS_MAR_UBD.parquet,4
AUS_MAR_UBW.parquet,4
AUS_WOM.parquet,2
AUT_PAT_FOR.parquet,4
AUT_PAT_KRU.parquet,4
AUT_PAT_TRE.parquet,4
AUT_TSC.parquet,4
BRA_CAM.parquet,4
BRA_SAN.parquet,4
CAN_TUR_P39_PRE.parquet,5
CHE_DAV_SEE.parquet,0
CHE_PFY_CON.parquet,4
CHE_PFY_IRR.parquet,4
CHN_ARG_GWD.parquet,4
CHN_ARG_GWS.parquet,4
CHN_HOR_AFF.parquet,4
CHN_YIN_ST1.parquet,4
CHN_YIN_ST2_DRO.parquet,4
CHN_YIN_ST3_DRO.parquet,4
CHN_YUN_YUN.parquet,4
CRI_TAM_TOW.parquet,7
CZE_LIZ_LES.parquet,4
ESP_MAJ_MAI.parquet,4
ESP_MAJ_NOR_LM1.parquet,4
ESP_RIN.parquet,4
ESP_RON_PIL.parquet,3
ESP_SAN_A2_45I.parquet,0
ESP_SAN_A_45I.parquet,4
ESP_SAN_B2_100.parquet,0
ESP_SAN_B_100.parquet,4
ESP_TIL_MIX.parquet,4
ESP_VAL_BAR.parquet,4
ESP_VAL_SOR.parquet,4
ESP_YUN_C1.parquet,4
ESP_YUN_C2.parquet,3
ESP_YUN_T1_THI.parquet,3
ESP_YUN_T3_THI.parquet,4
FRA_HES_HE1_NON.parquet,4
FRA_PUE.parquet,4
GBR_ABE_PLO.parquet,8
GBR_GUI_ST1.parquet,8
HUN_SIK.parquet,6
IDN_JAM_OIL.parquet,1
IDN_JAM_RUB.parquet,1
ITA_TOR.parquet,0
MDG_SEM_TAL.parquet,4
MDG_YOU_SHO.parquet,4
MEX_COR_YP.parquet,4
NLD_LOO.parquet,2
NLD_SPE_DOU.parquet,4
NZL_HUA_HUA.parquet,4
PRT_MIT.parquet,4
PRT_PIN.parquet,4
RUS_CHE_LOW.parquet,4
SEN_SOU_IRR.parquet,4
SEN_SOU_POS.parquet,4
SEN_SOU_PRE.parquet,4
THA_KHU.parquet,5
USA_CHE_ASP.parquet,4
USA_CHE_MAP.parquet,4
USA_HIL_HF1_PRE.parquet,4
USA_HIL_HF2.parquet,4
USA_INM.parquet,1
USA_MOR_SF.parquet,3
USA_PER_PER.parquet,4
USA_SWH.parquet,4
USA_TNB.parquet,3
USA_TNO.parquet,6
ZAF_FRA_FRA.parquet,4
ZAF_RAD.parquet,4
ZAF_SOU_SOU.parquet,6
ZAF_WEL_SOR.parquet,4
