site,cluster,cluster_method,longitude,latitude,latitude_abs,mean_annual_temp,mean_annual_precip,aridity_index,elevation,seasonal_temp_range,seasonal_precip_range,temp_precip_ratio,seasonality_index,climate_continentality,elevation_latitude_ratio,aridity_seasonality,temp_elevation_ratio,precip_latitude_ratio,climate_zone_code_0,climate_zone_code_1,climate_zone_code_2,biome_code_11.0,biome_code_15.0,igbp_class_code_1,igbp_class_code_2,igbp_class_code_3,igbp_class_code_4,igbp_class_code_5,igbp_class_code_8,igbp_class_code_9,igbp_class_code_11,leaf_habit_code_1.0,leaf_habit_code_3.0,soil_texture_code_1.0,soil_texture_code_2.0,soil_texture_code_3.0,soil_texture_code_4.0,soil_texture_code_6.0,soil_texture_code_7.0,soil_texture_code_8.0,soil_texture_code_9.0,soil_texture_code_12.0,species_functional_group_code_0,species_functional_group_code_1,species_functional_group_code_2,species_functional_group_code_3,species_functional_group_code_4,koppen_geiger_code_encoded_0
AUS_BRI_BRI,1,kmeans_minmax_9,145.84972,-37.870556,37.870556,12.865522830972262,1019.2046485691002,44.5738615339487,707.0,1.7054137133889,0.24714780174333525,0.012610727513364058,1.4325588669023233,0.04387417852702956,18.18857440577902,63.854680572534605,17.46102283097226,26.220480318550116,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
AUS_CAN_ST1_EUC,1,kmeans_minmax_9,149.17,-37.58,37.58,14.815262511148998,1083.5599169816517,43.665059617839226,180.0,2.2911635456668913,0.017506631299734746,0.01366016047539367,1.349977232698277,0.059387339182656596,4.665629860031104,58.946836348495886,15.985262511148997,28.086052798902326,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_CAN_ST3_ACA,1,kmeans_minmax_9,149.17,-37.58,37.58,14.815262511148998,1083.5599169816517,43.665059617839226,180.0,2.312806362922231,0.017368421052631578,0.01366016047539367,1.3467253957987309,0.059948324596221646,4.665629860031104,58.80484469640971,15.985262511148997,28.086052798902326,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_CAR_THI_00F,1,kmeans_minmax_9,146.683,-38.383,38.383,11.38479746749416,1014.2789349468908,47.42990605773282,610.0,11.68908257911752,0.02405193736923077,0.011213467625120871,0.7909829234009801,0.3033634205666655,15.488916537592361,23.334517635185257,15.34979746749416,25.75423240857453,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_CAR_THI_0PF,1,kmeans_minmax_9,146.683,-38.383,38.383,11.38479746749416,1014.2789349468908,47.42990605773282,610.0,11.68908257911752,0.02405193736923077,0.011213467625120871,0.7909829234009801,0.3033634205666655,15.488916537592361,23.334517635185257,15.34979746749416,25.75423240857453,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_CAR_THI_CON,1,kmeans_minmax_9,146.683,-38.383,38.383,11.38479746749416,1014.2789349468908,47.42990605773282,610.0,11.68908257911752,0.02405193736923077,0.011213467625120871,0.7909829234009801,0.3033634205666655,15.488916537592361,23.334517635185257,15.34979746749416,25.75423240857453,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_CAR_THI_T00,1,kmeans_minmax_9,146.683,-38.383,38.383,11.38479746749416,1014.2789349468908,47.42990605773282,610.0,11.68908257911752,0.02405193736923077,0.011213467625120871,0.7909829234009801,0.3033634205666655,15.488916537592361,23.334517635185257,15.34979746749416,25.75423240857453,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_CAR_THI_T0F,1,kmeans_minmax_9,146.683,-38.383,38.383,11.38479746749416,1014.2789349468908,47.42990605773282,610.0,11.68908257911752,0.02405193736923077,0.011213467625120871,0.7909829234009801,0.3033634205666655,15.488916537592361,23.334517635185257,15.34979746749416,25.75423240857453,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_ELL_MB_MOD,1,kmeans_minmax_9,146.582,-36.785,36.785,11.921444388894884,1082.5513873473128,49.38321436044238,693.0,13.210217958271235,0.08580126927166401,0.011002195676275462,0.33251549473273156,0.34961540183329987,18.340611353711793,16.42068395455503,16.425944388894884,28.650294755784383,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_ELL_UNB,1,kmeans_minmax_9,146.581,-36.785,36.785,11.877244695397168,1087.539528439717,49.71099165282585,737.0,13.164465873031801,0.08314077653149267,0.010911174454474508,0.326398543281886,0.34840454871064713,19.505094614264923,16.225595260580352,16.667744695397168,28.782308546770338,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_KAR,7,kmeans_minmax_9,118.218654,-22.623701,22.623701,23.82472977341696,362.650585041797,10.721462890349713,710.0,18.907242524916946,0.0,0.06551544464222052,1.1815621770960634,0.8003505684785354,30.054562576795227,12.668075034376258,28.439729773416957,15.351133382605756,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_HSD_HIG,1,kmeans_minmax_9,145.581,-37.643,37.643,12.987084661338354,1164.955907913101,50.67871481207983,468.0,10.032836583046025,0.10401887758003071,0.011138572713768764,0.205466220163823,0.25962882237523033,12.110860958000154,10.412763975198391,16.029084661338352,30.146621843881196,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_HSW_HIG,1,kmeans_minmax_9,145.574,-37.647,37.647,13.30955191076148,1163.5878143762857,49.91892674861263,297.0,11.72408611463992,0.09778247096092926,0.011428551584055197,0.14407944633660819,0.3033634205666655,7.684943203870935,7.1922913276578075,15.24005191076148,30.10810190639081,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
AUS_MAR_MSD_MOD,1,kmeans_minmax_9,145.584,-37.642,37.642,12.983087442057236,1161.7564640476176,50.548320236631696,467.0,10.034763269540694,0.1075019973547638,0.011165783931110057,0.20457942765412562,0.25968540110606836,12.085295792143263,10.341146422887569,16.018587442057235,30.0646049388649,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
