cluster,fold,test_site,train_samples,test_samples,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2
4,17,ESP_TIL_MIX.parquet,3199868,1816845,0.7947021168357644,2.514140120517654,0.4075965856184124,1.8266180107209722,0.9704632806903943,-3.8079627730139194
4,18,ESP_VAL_BAR.parquet,4953745,62968,0.6737896380552518,3.317217657471649,0.3358223925052487,2.0671061981221834,0.9686440847893184,0.4355956741857522
4,19,ESP_VAL_SOR.parquet,4880430,136283,0.683014255531593,2.0805747873184717,0.33996624008444387,1.3166370365430788,0.9685282472099461,0.34273792422231986
4,20,ESP_YUN_C1.parquet,4866546,150167,0.6963964706334874,1.3256041354282704,0.3465299854143587,0.8605121372415846,0.9676160143014515,0.1056301426098395
4,21,ESP_YUN_C2.parquet,4958762,57951,0.687932652695631,1.100246238524489,0.3427316914843835,0.7561559562086527,0.9679026153867555,0.4063408609453698
4,22,ESP_YUN_T1_THI.parquet,4898993,117720,0.6814926997100795,1.5444865368308336,0.3398512571163005,0.8006216191602247,0.9686095815393421,0.6385014168249503
4,23,ESP_YUN_T3_THI.parquet,4735454,281259,0.6652991721433675,1.2293468103544876,0.33271421376433996,0.6938510118429114,0.9709769025184488,0.5471632494059557
4,24,FRA_HES_HE1_NON.parquet,4966448,50265,0.6868395270789012,2.4439417338286495,0.3442945264763837,1.2908796289680278,0.9677639681703007,0.4918834068690363
4,25,FRA_PUE.parquet,4779069,237644,0.666412694341778,2.3498047720381416,0.332069710563757,1.6025031774140568,0.9703791856693053,0.1799318153903393
4,26,GBR_ABE_PLO.parquet,4983719,32994,0.6703903824745632,2.519039413238378,0.3363684640825911,1.788197921498873,0.96939428639094,-2.295833195294046
4,27,GBR_GUI_ST1.parquet,4941640,75073,0.697013609779743,1.7637967258716096,0.34587068769443563,1.1858947961415334,0.9670919746123698,0.23948365620192125
4,28,HUN_SIK.parquet,4992392,24321,0.6919444105128887,6.155432762219831,0.3439146683201971,4.361173487090161,0.9672851134385166,-3.760806436529398
4,29,ITA_TOR.parquet,4970083,46630,0.7068430447222687,2.821294500035877,0.34951961488955025,1.7076388218729404,0.9659360031314141,-0.01766280103128781
4,30,NLD_LOO.parquet,4840555,176158,0.6942883002024683,1.5068769748510558,0.345175310158564,1.099571146317628,0.9679522292233662,-0.06516704145365737
4,31,NLD_SPE_DOU.parquet,4987126,29587,0.6794442725363758,2.5269584687863826,0.3405452123275432,1.858744367731219,0.9685545684491129,-3.057578664301409
4,32,PRT_MIT.parquet,4944285,72428,0.6797259569069698,5.81991500631348,0.338915763782301,3.3240333239698545,0.965957493712295,0.477093320422334
4,33,PRT_PIN.parquet,4718297,298416,0.6489299916700205,6.442841720603425,0.32359752493222,3.9639639565510705,0.9646922197905363,0.057222625310243025
4,34,SEN_SOU_IRR.parquet,5015818,895,0.6829387471047824,3.780374559537016,0.3411421977271542,2.9507459874683892,0.9680282701155736,0.6422297768468952
4,35,SEN_SOU_POS.parquet,5013569,3144,0.69182893547903,3.5399407722379155,0.3458483404754244,2.650922865988117,0.9671749983312827,0.5021021554162598
4,36,SEN_SOU_PRE.parquet,4999950,16763,0.6682383178422572,4.189444678167534,0.33595551858403067,3.0937914410111564,0.96906432466368,0.45270103050472754
