feature,importance
seasonal_temp_range,0.40745765
stand_height,0.1375902
elevation,0.032421343
terrain_code,0.023309164
measurement_timestep,0.0212303
latitude_abs,0.014562014
longitude,0.011339208
n_trees,0.011178902
vpd_mean_6h,0.010388795
timezone_offset,0.009147492
ext_rad,0.009074399
sapwood_leaf_ratio,0.007791119
stand_age,0.007526996
tree_density,0.007340255
silt_percentage,0.007284747
basal_area,0.0068441164
pl_social_code,0.006739342
solar_hour_cos,0.0060322327
vpd_mean_12h,0.0060029277
ta_mean_12h,0.0054272716
pl_height,0.0053642583
sand_percentage,0.005222073
clay_percentage,0.0050285403
solar_day_of_year,0.0048910794
vpd_std_48h,0.003827871
soil_texture_code,0.0036239251
latitude,0.003589983
tree_volume_index,0.0034344594
sw_in_min_336h,0.0034321898
climate_zone_code,0.0034060809
sw_in_mean_6h,0.0032953145
temp_soil_interaction,0.003167616
social_status_code,0.0030508717
vpd_ta_interaction,0.0029682673
vpd_range_72h,0.0029423437
pl_bark_thick,0.0029074661
mean_annual_precip,0.0028917904
vpd_lag_3h,0.0027348874
rh_max_168h,0.0025895725
wind_vpd_interaction,0.0024801567
mean_annual_temp,0.0023644068
temp_humidity_ratio,0.0023462567
solar_day_sin,0.002326948
sw_in_min_168h,0.0022603043
hours_since_sunset,0.0021408426
growth_condition_code,0.0020675184
vpd_rate_24h,0.0019913714
month_cos,0.0019776504
vpd_lag_1h,0.0019647656
vpd_min_168h,0.0019370872
hour_cos,0.0018646226
hours_since_sunrise,0.001843802
water_stress_index,0.0018249619
rh_max_336h,0.0018192816
pl_age,0.0017512633
ta_std_48h,0.0017356637
soil_depth,0.0017312168
rh_mean_168h,0.0017296852
rh_mean_12h,0.0017276445
sw_in_min_72h,0.0017121992
vpd_std_24h,0.0016957256
seasonal_precip_range,0.001686393
leaf_area_index,0.0016663878
year,0.0016319936
rh_range_72h,0.0016310277
pl_leaf_area,0.0015423317
swc_shallow_lag_24h,0.0014970826
pl_sapw_area,0.0014898547
ta_rate_24h,0.0014835665
day_of_week,0.0014151956
pl_dbh,0.0013982609
rh_std_72h,0.0013926278
ta_mean_168h,0.0013816361
sw_in_cum_24h,0.001376879
radiation_temp_interaction,0.0013708154
ta_std_72h,0.0013399887
day_of_year,0.0013156524
vpd_std_72h,0.0013116837
month_sin,0.0012769598
rh_mean_3h,0.0012442924
solar_hour_sin,0.0012358342
solar_day_cos,0.0012352378
sw_in_mean_12h,0.0012263977
ppfd_in_lag_2h,0.0012248745
aridity_index,0.0012197904
sw_in_mean_24h,0.0012141502
vpd_range_168h,0.0012122563
vpd_mean_3h,0.0011836018
rh_std_48h,0.0011601422
vpd_std_12h,0.0011524479
sw_in_rate_1h,0.0011279681
ta_min_168h,0.0011068933
ta_min_72h,0.0010828557
vpd,0.0010827574
sw_in_mean_3h,0.0010517957
rh_max_72h,0.0010411598
rh_lag_1h,0.0010334131
vpd_lag_2h,0.0010294841
ta_mean_3h,0.0010291536
solar_hour,0.0010103093
precip_cum_24h,0.000987604
pl_species_code,0.0009833976
vpd_max_72h,0.000976533
swc_shallow_lag_2h,0.0009733255
rh_std_336h,0.00096080377
ta_mean_72h,0.0009604713
hour,0.00096010545
ta_range_72h,0.0009419982
sw_in_cum_72h,0.0009359668
stomatal_control_index,0.00093423063
precip_lag_3h,0.0009330626
wind_stress,0.00092348055
measurement_frequency,0.0009201104
rh_mean_720h,0.00091470353
rh_min_72h,0.0009120381
rh_mean_336h,0.0009101647
sw_in_std_336h,0.00090850994
pl_sapw_depth,0.0009028027
ta_lag_2h,0.00089990057
vpd_std_336h,0.000898525
vpd_rate_6h,0.0008972827
vpd_mean_336h,0.0008880678
ta_mean_720h,0.0008711581
vpd_lag_6h,0.0008658651
ta_max_168h,0.00085723726
vpd_mean_720h,0.0008488922
day_cos,0.0008472676
ta_max_336h,0.0008222827
sw_in_std_24h,0.0008076397
is_weekend,0.00080625986
rh_range_168h,0.0008011333
ta_mean_48h,0.00079407444
swc_shallow_lag_1h,0.0007923932
vpd_mean_168h,0.0007912961
vpd_range_336h,0.0007865169
rh_mean_24h,0.0007829437
month,0.00077776087
is_afternoon,0.00077732763
ppfd_in_lag_3h,0.0007753709
ta_mean_6h,0.0007698415
rh_mean_6h,0.00075643964
vpd_mean_24h,0.0007550187
ta_std_168h,0.00074191275
ta_min_336h,0.0007377935
precip_lag_1h,0.0007358567
ws_lag_1h,0.0007277532
ta_lag_3h,0.00072706316
is_spring,0.0007240521
rh_min_336h,0.0007143044
rh_rate_24h,0.00070678646
precip_lag_2h,0.0007046618
tree_age_class_code,0.0007043568
vpd_std_720h,0.0006926329
ta_std_24h,0.0006920149
ta_lag_1h,0.0006917527
vpd_ppfd_interaction,0.0006909871
ta_max_72h,0.00068709574
ta_rate_6h,0.0006833289
precip_lag_6h,0.00067590846
day_sin,0.00065418787
swc_shallow_lag_6h,0.00064853835
ta_mean_336h,0.00063541817
sw_in_std_48h,0.00063209096
ta_std_720h,0.00062686333
hour_sin,0.00062529085
vpd_max_168h,0.0006225678
vpd_lag_12h,0.00062161527
vpd_mean_72h,0.0006053742
sw_in_mean_48h,0.00058642874
ta_mean_24h,0.0005779862
rh_lag_6h,0.00057646807
ws_lag_3h,0.0005752502
rh_std_720h,0.00057161046
ta_std_336h,0.0005690834
swc_shallow_lag_3h,0.0005607956
swc_shallow_lag_12h,0.00055815006
rh_min_168h,0.0005581096
rh_std_168h,0.0005566817
swc_shallow,0.00055263
vpd_min_336h,0.0005472622
precip,0.0005408976
ppfd_in_lag_1h,0.0005393457
rh_std_24h,0.0005298373
ws_lag_12h,0.00052648224
rh_mean_48h,0.0005260322
ta_range_336h,0.0005158696
ta_lag_12h,0.0005085104
rh_mean_72h,0.00050133857
vpd_std_168h,0.0005011038
ta_range_168h,0.0004913361
rh_std_3h,0.00048333628
rh_range_336h,0.00048098495
ta_std_12h,0.00047993305
ppfd_in_lag_6h,0.00046422877
igbp_class_code,0.00045669934
sw_in_lag_1h,0.0004561836
sw_in_range_72h,0.0004466798
sw_in,0.0004428887
vpd_min_72h,0.00044154428
rh_lag_2h,0.00043587247
temp_deviation,0.00043008788
ta_lag_24h,0.00042771816
sw_in_lag_2h,0.00042683614
sw_in_rate_6h,0.00042448452
vpd_mean_48h,0.000420073
ta_std_6h,0.00040388055
rh_std_12h,0.0003989178
ws_lag_24h,0.00039438088
sw_in_std_3h,0.0003942602
ws_lag_2h,0.00039285343
rh_std_6h,0.0003927635
sw_in_lag_3h,0.000392252
rh_rate_6h,0.00038614543
vpd_max_336h,0.00038319296
sw_in_rate_24h,0.00038221249
tree_size_class_code,0.00037340412
precip_cum_168h,0.00037052986
rh_lag_12h,0.00036911297
sw_in_std_6h,0.00036777055
is_peak_sunlight,0.00036006403
sw_in_std_168h,0.0003554758
vpd_std_3h,0.00035077758
ta_rate_1h,0.0003472301
vpd_rate_1h,0.00034312814
rh_lag_24h,0.00033710228
precip_cum_72h,0.00032900865
ws_lag_6h,0.0003270396
rh_rate_1h,0.0003060863
rh_lag_3h,0.00029706222
sw_in_std_12h,0.0002967356
ta,0.00029643136
sw_in_range_336h,0.00029359444
vpd_std_6h,0.00028904097
ppfd_efficiency,0.0002886743
sw_in_range_168h,0.00028515657
ppfd_in,0.0002796316
sw_in_max_168h,0.00027738017
sw_in_mean_336h,0.00026443784
sw_in_mean_720h,0.0002573276
sw_in_max_336h,0.00025592645
sw_in_std_72h,0.00025546076
ws,0.00025228263
rh,0.00025106364
sw_in_std_720h,0.0002457207
ta_lag_6h,0.0002432818
ta_std_3h,0.00023701668
sw_in_max_72h,0.00023567617
is_night,0.00022176166
stomatal_conductance_proxy,0.00022108389
light_efficiency,0.0002134425
sw_in_mean_168h,0.0002111297
vpd_lag_24h,0.00021070459
humidity_soil_interaction,0.00020781817
sw_in_lag_12h,0.0001971677
sw_in_mean_72h,0.00019066539
is_winter,0.0001796174
is_summer,0.00016127215
sw_in_lag_6h,0.00012023051
is_daylight,0.00011763958
is_morning,0.000117241056
ppfd_in_lag_12h,0.000116800955
sw_in_lag_24h,0.0001116701
precip_lag_12h,0.00011121262
ppfd_in_lag_24h,9.747866e-05
precip_lag_24h,9.669338e-05
igbp_code,6.4560605e-05
species_functional_group_code,0.0
is_autumn,0.0
koppen_geiger_code_encoded,0.0
is_inside_country,0.0
biome_code,0.0
leaf_habit_code,0.0
