feature,importance
leaf_area_index,0.24146897
solar_hour_cos,0.12221043
tree_density,0.050940685
stand_height,0.032833867
climate_zone_code,0.031408075
ext_rad,0.019005027
vpd_ta_interaction,0.018914089
basal_area,0.01790096
vpd_lag_1h,0.01658228
mean_annual_temp,0.016252697
vpd_ppfd_interaction,0.0149946455
seasonal_precip_range,0.014490473
timezone_offset,0.012990648
tree_age_class_code,0.012250642
pl_species_code,0.011612701
soil_depth,0.011093885
seasonal_temp_range,0.010510702
stomatal_control_index,0.008694251
longitude,0.0079175625
vpd_mean_3h,0.0077272896
elevation,0.007253576
sw_in_mean_3h,0.006928838
clay_percentage,0.0064079533
is_summer,0.006348487
latitude,0.005959467
pl_sapw_depth,0.005822116
swc_shallow_lag_12h,0.005781582
year,0.005453807
sw_in_range_336h,0.005375066
swc_shallow_lag_24h,0.0051982603
tree_volume_index,0.0050162487
rh_lag_1h,0.004854807
swc_shallow,0.004595825
pl_age,0.0040839855
is_peak_sunlight,0.004022984
swc_shallow_lag_1h,0.004012001
day_cos,0.00399721
sw_in_lag_1h,0.003939039
pl_sapw_area,0.0038175178
temp_soil_interaction,0.0037904496
measurement_frequency,0.003743665
vpd_rate_24h,0.0036321688
radiation_temp_interaction,0.0035814606
pl_bark_thick,0.0034906832
rh_mean_3h,0.0034751755
soil_texture_code,0.0033652277
growth_condition_code,0.0032067304
sw_in_std_168h,0.0031380313
is_winter,0.0031043664
pl_dbh,0.0030963267
swc_shallow_lag_6h,0.0030699342
sapwood_leaf_ratio,0.0030394343
vpd,0.0030377577
pl_leaf_area,0.0030104872
precip_lag_12h,0.0030082536
n_trees,0.0028600928
day_of_year,0.0028372833
solar_hour_sin,0.0028160259
ppfd_in_lag_2h,0.0028122505
ppfd_in_lag_1h,0.0027203988
sw_in_mean_6h,0.0026484241
ta_min_168h,0.0025463533
is_daylight,0.002545897
vpd_max_336h,0.0025297352
month_cos,0.0025023038
pl_height,0.0024428167
aridity_index,0.0024265798
sw_in_min_336h,0.002362375
social_status_code,0.0021742277
mean_annual_precip,0.0021316027
sw_in_std_720h,0.0020762596
month,0.002073465
rh,0.0020579544
sw_in_max_336h,0.0020292562
measurement_timestep,0.0019309581
ta_max_336h,0.0019256127
sw_in_std_24h,0.0019144515
pl_social_code,0.0018994367
day_sin,0.001838125
solar_day_of_year,0.0017691364
ppfd_in,0.0016040907
vpd_range_336h,0.0015470299
temp_humidity_ratio,0.0015420142
latitude_abs,0.0015348226
solar_day_cos,0.0015163238
vpd_mean_6h,0.001487574
month_sin,0.0014815072
swc_shallow_lag_3h,0.0014784018
vpd_min_336h,0.001469891
solar_day_sin,0.0014556112
tree_size_class_code,0.0014328557
swc_shallow_lag_2h,0.0014178022
hour_cos,0.0013950533
rh_max_168h,0.0013695842
sw_in_min_72h,0.001366726
ta_max_168h,0.0013607648
biome_code,0.0012401992
ta_min_336h,0.0012386999
terrain_code,0.0012378703
ta_mean_720h,0.0012017599
rh_std_720h,0.0011829361
hours_since_sunset,0.0011587465
is_autumn,0.001141227
rh_mean_720h,0.0011030567
vpd_min_168h,0.001102112
rh_range_336h,0.0010723126
solar_hour,0.0010634115
water_stress_index,0.0010500781
rh_min_336h,0.00104058
sw_in_lag_12h,0.0010350329
ta_std_720h,0.0010172983
rh_max_336h,0.0009706557
stand_age,0.0009536298
sw_in_mean_12h,0.00095092825
is_morning,0.00094350515
vpd_std_336h,0.00093335647
vpd_mean_720h,0.0009284809
humidity_soil_interaction,0.0008984895
wind_vpd_interaction,0.0008960558
vpd_std_720h,0.0008930208
rh_mean_12h,0.0008831684
sw_in_std_336h,0.00087034353
vpd_lag_3h,0.00083428
is_spring,0.0008320715
sw_in,0.0008267405
wind_stress,0.00081499113
hour,0.00080439064
vpd_rate_6h,0.0007933299
ta_rate_6h,0.00079322944
is_afternoon,0.0007894345
silt_percentage,0.0007787647
ppfd_in_lag_6h,0.0007778537
hours_since_sunrise,0.00077132636
sw_in_mean_720h,0.00075163174
ta_min_72h,0.00074940367
sw_in_min_168h,0.00074710004
vpd_min_72h,0.00073417265
vpd_max_168h,0.0007292758
ta_range_336h,0.0007254764
rh_mean_336h,0.00070979097
ta_std_336h,0.0007007747
vpd_mean_168h,0.0006986472
ta_mean_336h,0.00067780836
sw_in_cum_24h,0.0006775075
vpd_mean_12h,0.00067453715
sw_in_mean_336h,0.0006607739
ta_range_168h,0.000655797
vpd_mean_24h,0.0006535406
hour_sin,0.0006475323
light_efficiency,0.0006414942
rh_max_72h,0.00063608127
sw_in_lag_3h,0.0006109528
sw_in_max_168h,0.00061075354
ta_lag_2h,0.00059145194
rh_min_168h,0.0005740412
ppfd_in_lag_3h,0.0005729471
stomatal_conductance_proxy,0.00056027964
rh_min_72h,0.00054736057
temp_deviation,0.0005456314
sw_in_max_72h,0.000538279
ta_lag_12h,0.00053399
ta_lag_6h,0.00052339915
rh_mean_168h,0.00051737553
rh_rate_24h,0.00051452935
ta_mean_12h,0.0005081336
sw_in_std_12h,0.0005015277
vpd_mean_336h,0.00050022814
vpd_std_168h,0.0004970996
rh_mean_48h,0.00049440406
sw_in_mean_168h,0.0004918954
vpd_max_72h,0.0004917859
ta_mean_168h,0.0004912179
ppfd_efficiency,0.00048633025
rh_mean_24h,0.0004805432
ta_rate_24h,0.00048046143
vpd_range_72h,0.00046611912
vpd_lag_2h,0.0004607665
igbp_class_code,0.0004606412
vpd_mean_48h,0.0004475643
ta_mean_6h,0.00044640785
rh_mean_6h,0.00044632412
ta_lag_3h,0.00044605767
rh_rate_6h,0.00043969115
ta_mean_48h,0.00043912575
sw_in_lag_6h,0.00043759355
vpd_lag_6h,0.00043251013
sw_in_range_72h,0.0004307538
sw_in_std_48h,0.00043032196
sw_in_rate_1h,0.00042991643
sand_percentage,0.00041784678
rh_mean_72h,0.00041538614
ta_std_48h,0.00041063316
sw_in_cum_72h,0.0004097401
rh_std_336h,0.00040945565
ta_max_72h,0.00040799152
vpd_std_12h,0.00039989178
rh_range_168h,0.00039563677
sw_in_rate_6h,0.0003916654
rh_std_6h,0.00038660687
ta_range_72h,0.00038127566
sw_in_range_168h,0.00038101652
sw_in_std_3h,0.00037808676
day_of_week,0.00037329138
sw_in_lag_24h,0.00036896544
sw_in_mean_24h,0.0003683813
vpd_std_48h,0.00036359095
ta_lag_24h,0.00035830901
ta_mean_72h,0.00035530207
vpd_lag_12h,0.00034796074
sw_in_mean_48h,0.00034222333
ppfd_in_lag_12h,0.00034054043
sw_in_mean_72h,0.00033317466
ws_lag_24h,0.00032824784
ta_mean_24h,0.00032758527
ta_std_168h,0.0003219772
vpd_mean_72h,0.00031826738
sw_in_lag_2h,0.00031223506
sw_in_rate_24h,0.0003066209
precip_cum_168h,0.0002971518
precip_cum_72h,0.0002962199
sw_in_std_6h,0.0002936721
vpd_range_168h,0.00029360742
rh_range_72h,0.00028754823
ta_std_72h,0.00028721686
rh_lag_12h,0.00028350044
ta_lag_1h,0.00028115138
rh_lag_6h,0.00027193208
ta_std_24h,0.00026286553
rh_std_72h,0.00026052436
sw_in_std_72h,0.00026049485
ws_lag_1h,0.00025290335
vpd_std_72h,0.00024683742
vpd_std_24h,0.0002357837
vpd_lag_24h,0.00023567818
rh_lag_24h,0.00023525013
rh_std_168h,0.00023412654
ppfd_in_lag_24h,0.00022286031
rh_lag_2h,0.00022172533
rh_std_24h,0.0002176736
rh_std_48h,0.00020949902
ws_lag_2h,0.00020831742
rh_std_12h,0.00020399084
vpd_std_6h,0.00019919283
rh_rate_1h,0.0001962518
precip_lag_6h,0.00019132011
ta_mean_3h,0.0001851609
ws_lag_12h,0.0001814432
vpd_rate_1h,0.00017260187
ws_lag_6h,0.00016986448
ta,0.00015446014
rh_lag_3h,0.00015433575
ta_std_6h,0.00015100288
ta_std_12h,0.00014943257
ws_lag_3h,0.00014201661
precip_lag_2h,0.0001403602
vpd_std_3h,0.00014007928
ta_rate_1h,0.00013772941
precip_cum_24h,0.0001263544
is_weekend,0.00012573652
rh_std_3h,0.00012086674
ta_std_3h,0.00011897868
ws,0.00010858827
precip,7.504086e-05
precip_lag_1h,6.752737e-05
precip_lag_3h,4.846154e-05
is_night,2.4578409e-05
precip_lag_24h,3.2835999e-06
leaf_habit_code,0.0
koppen_geiger_code_encoded,0.0
species_functional_group_code,0.0
igbp_code,0.0
is_inside_country,0.0
