schema,K,features_used,standardization,source
kmeans_minmax_8,8.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_3,3.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_4,4.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_5,5.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_6,6.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_7,7.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_8,8.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_ward_3,3.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_ward_4,4.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_ward_5,5.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_ward_6,6.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_ward_7,7.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_ward_8,8.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_complete_3,3.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_complete_4,4.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_complete_5,5.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_complete_6,6.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
hierarchical_complete_7,7.0,,,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
